"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",69.9711,1,968.08143
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",95.61932,1,1545.45493
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",94.54686,1,1062.03945
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",118.24208,1,1661.202
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",106.52912,1,2213.38406
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",108.06045,1,1421.24672
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",69.66409,1,1384.08123
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",125.40909,1,1558.92164
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",90.29127,1,1359.82332
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",82.53144,1,1196.54441
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",172.62426,1,1284.34145
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",187.84248,1,1117.40541
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Scombridae","Scomberomorus","spp",691.3613,1,3092.39736
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Lethrinidae","Lethrinus","miniatus",292.49548,1,1899.1113
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Lethrinidae","Lethrinus","miniatus",327.38365,1,1946.83829
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Lethrinidae","Lethrinus","punctulatus",111.60738,1,1696.4531
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Mullidae","Parupeneus","spilurus",86.4454,1,1139.22239
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Labridae","Suezichthys","cyanolaemus",68.70664,1,1878.04406
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Labridae","Suezichthys","cyanolaemus",43.46685,1,1760.65974
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Haemulidae","Diagramma","pictum labiosum",650.97792,1,1280.79796
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Carangidae","Carangoides","spp",769.94355,1,2005.41885
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Haemulidae","Diagramma","pictum labiosum",557.49136,1,1397.60402
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Haemulidae","Diagramma","pictum labiosum",535.18968,1,1492.43634
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","miniatus",422.51928,1,1397.27988
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","miniatus",325.33232,1,1398.05301
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","miniatus",373.96972,1,1245.72397
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","miniatus",419.0732,1,2174.64558
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Nemipteridae","Pentapodus","nagasakiensis",168.0276,1,1942.89735
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Nemipteridae","Pentapodus","nagasakiensis",188.54275,1,1282.34361
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Nemipteridae","Pentapodus","nagasakiensis",189.02343,1,1618.55076
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Nemipteridae","Pentapodus","nagasakiensis",170.81005,1,1516.28811
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Nemipteridae","Pentapodus","nagasakiensis",162.3628,1,1321.29216
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Nemipteridae","Pentapodus","nagasakiensis",148.07065,1,1529.94709
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Labridae","Choerodon","rubescens",336.91902,1,2062.25401
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Labridae","Choerodon","rubescens",251.13499,1,1284.79624
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",686.08892,1,4562.17345
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",528.89089,1,1316.18143
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",626.32466,1,1542.32903
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","Labridae","Coris","auricularis",272.13944,1,1149.6331
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Mullidae","Parupeneus","spilurus",210.66674,1,1571.00088
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Nemipteridae","Pentapodus","nagasakiensis",180.31207,1,609.18506
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Mullidae","Parupeneus","spilurus",180.39205,1,1738.4247
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Suezichthys","cyanolaemus",86.31514,1,1367.04958
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Suezichthys","cyanolaemus",63.57097,1,1506.88432
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Suezichthys","cyanolaemus",80.99784,1,1366.31377
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Coris","auricularis",120.86375,1,912.26499
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Coris","auricularis",132.37399,1,1204.92518
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Coris","auricularis",120.68187,1,816.46967
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Coris","auricularis",134.40825,1,1310.74223
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Coris","auricularis",117.55585,1,1149.16167
