OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz9.1	0	L027 (017).MP4	2169	R028 (017).MP4	2780	0.60310		-1.00000	1758.05438	-84.94665	-3239.06934	10.15345	1.65036	19.07856	8.72471	3686.39951	28.50696								sync		
npz9.1	7	L027 (022).MP4	7002	R028 (022).MP4	7792	114.61144	1	47.00446	-1529.31432	269.34142	-2681.85545	7.39061	1.79205	13.26591	1.95019	3098.98301	30.12321	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
npz9.1	9	L027 (022).MP4	7457	R028 (022).MP4	8247	114.73796	1	47.13097	-1667.08132	-213.72044	-3249.99113	10.02359	2.09400	19.93141	1.80578	3658.86306	27.31020	Lutjanidae	Pristipomoides	typus	37346019	1	AD	Passing			
npz9.1	11	L027 (022).MP4	7592	R028 (022).MP4	8382	114.77549	1	47.16851	-1171.52235	-368.89789	-2193.08607	4.72278	1.86428	8.99676	5.29250	2513.59837	29.16507	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
npz9.10	0	L033 (010).MP4	2374	R034 (06).MP4	4008	0.66010		-1.00000	117.31576	35.06524	-1162.58324	0.62819	0.57360	2.71975	2.17127	1169.01341	5.97381								sync		
npz9.10	3	L033 (013).MP4	52200	R034 (09).MP4	53834	82.15012	1	5.38316	438.90645	-346.35021	-1052.00989	0.98713	0.86092	2.13132	3.71115	1191.35308	28.07559	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
npz9.10	14	L033 (014).MP4	33381	R034 (010).MP4	35015	99.45714	1	22.69017	1787.77707	224.84542	-3294.04925	10.73983	2.10422	20.23871	1.02511	3754.65881	28.66177	Carangidae	Decapterus	spp		1	AD	Passing			
npz9.10	15	L033 (014).MP4	33452	R034 (010).MP4	35086	99.47688	1	22.70991	1979.52420	79.65839	-3767.25783	13.72040	1.89364	26.66878	7.72338	4256.41787	27.73371	Carangidae	Decapterus	spp		1	AD	Passing			
npz9.10	29	L033 (015).MP4	74218	R034 (011).MP4	75852	133.35155	1	56.58458	-928.32976	443.54542	-1593.72635	2.60818	1.46038	4.53184	0.41875	1896.96926	32.78480	Carangidae	Seriola	dumerili	37337025	1	AD	Passing			
npz9.11	0	L039 (02).MP4	29900	R040 (02).MP4	31937	30.83692		-1.00000	18.30412	-68.17127	-567.23188	0.28731	0.29006	0.65280	0.60069	571.60683	7.55946								sync		
npz9.12	0	L031 (02).MP4	19412	R032 (02).MP4	21060	27.95404		-1.00000	-20.28531	-48.55050	-618.97752	0.31602	0.31239	0.81752	1.00496	621.20997	5.09581								sync		
npz9.13	0	L031 (016).MP4	3901	R032 (016).MP4	4331	1.08469		-1.00000	-52.62030	-37.57863	-923.45509	0.47035	0.45730	1.78675	0.04751	925.71613	4.15917								sync		
